2026-08-28 17:22:46 | INFO | amazon_scrapper | [1:13] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_01_product_013.html
2026-08-28 17:22:46 | INFO | amazon_scrapper | [1:11] HTTP 200 https://www.amazon.com/TOZO-T6-Headphones-Customizable-Waterproof/dp/B0F53L8J78/ref=sr_1_11?dib=eyJ2IjoiMSJ9.cHcgliAzcUuJZVVrUBrTMStX2abZeLX8EZ0edgi2DEZbMYT4ZwUqHKs4TB2l6K5y9zzqkRxomM4dC8rAd4yqe_7Dxy0Jl-PxpYqEGj_R3ykaRgjwOq64r_9Ju4V62q15d9hGomNSL4lAF6zArlxks_42uedPs1PAc123J7M2Xsk7-GOzNYyGlolw6HF0-0XzR15fgXZDFNYLd8D_lhapHWLCcGsSSi7vWbXoMvNjnqI.MDQvF_2dtwi838VSt6gBulSTDWhCZJxnBLUbajbFVcs&dib_tag=se&keywords=wireless+earbuds&qid=1787915985&sr=8-11
2026-08-28 17:22:46 | INFO | amazon_scrapper | [1:11] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_01_product_011.html
2026-08-28 17:22:46 | INFO | amazon_scrapper | [1:14] HTTP 200 https://www.amazon.com/Sony-Bluetooth-Headphones-Multipoint-Connection-Resistance/dp/B0D9R4GYTN/ref=sr_1_14?dib=eyJ2IjoiMSJ9.cHcgliAzcUuJZVVrUBrTMStX2abZeLX8EZ0edgi2DEZbMYT4ZwUqHKs4TB2l6K5y9zzqkRxomM4dC8rAd4yqe_7Dxy0Jl-PxpYqEGj_R3ykaRgjwOq64r_9Ju4V62q15d9hGomNSL4lAF6zArlxks_42uedPs1PAc123J7M2Xsk7-GOzNYyGlolw6HF0-0XzR15fgXZDFNYLd8D_lhapHWLCcGsSSi7vWbXoMvNjnqI.MDQvF_2dtwi838VSt6gBulSTDWhCZJxnBLUbajbFVcs&dib_tag=se&keywords=wireless+earbuds&qid=1787915985&sr=8-14
2026-08-28 17:22:46 | INFO | amazon_scrapper | [1:14] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_01_product_014.html
2026-08-28 17:22:46 | INFO | amazon_scrapper | [1:15] HTTP 200 https://www.amazon.com/Wireless-Earbuds-Playtime-Bluetooth-Headphones/dp/B0H9LG1L6W/ref=sr_1_15?dib=eyJ2IjoiMSJ9.cHcgliAzcUuJZVVrUBrTMStX2abZeLX8EZ0edgi2DEZbMYT4ZwUqHKs4TB2l6K5y9zzqkRxomM4dC8rAd4yqe_7Dxy0Jl-PxpYqEGj_R3ykaRgjwOq64r_9Ju4V62q15d9hGomNSL4lAF6zArlxks_42uedPs1PAc123J7M2Xsk7-GOzNYyGlolw6HF0-0XzR15fgXZDFNYLd8D_lhapHWLCcGsSSi7vWbXoMvNjnqI.MDQvF_2dtwi838VSt6gBulSTDWhCZJxnBLUbajbFVcs&dib_tag=se&keywords=wireless+earbuds&qid=1787915985&sr=8-15
2026-08-28 17:22:46 | INFO | amazon_scrapper | [1:15] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_01_product_015.html
2026-08-28 17:22:48 | INFO | amazon_scrapper | [2:2] HTTP 200 https://www.amazon.com/Logitech-SUPERSTRIKE-Performance-Lightweight-Customizable/dp/B0G12HGHGM/ref=sr_1_4?dib=eyJ2IjoiMSJ9.Rp27K2g5EEEsiVTy8NUc0U-REtbHBThXxI-IWski2RCnsFpaXuJ6qvGTloP1RylhIrEPKgJrDmkUVBLip3HhpIE93itmSbzvSSooZaQjByrrOV82ppGFQLTWeTVVK2KVlgeNuF1gsNdBVXYfhPJdPPbMnkf0etLrpYa6vMuB0OcQyjoIbZIhBreIU4l_M83aDupvQF2dLHY7DASh_9BJyAwMdlUZtKpUsRDxqfYgFTk.X8vMwBnoa2vlbdxc1QxfHzLSQ0acpZ-wrNb6KDlF7as&dib_tag=se&keywords=gaming+mouse&qid=1787915991&sr=8-4
2026-08-28 17:22:48 | INFO | amazon_scrapper | [2:2] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_02_product_002.html
2026-08-28 17:22:48 | INFO | amazon_scrapper | [1:16] HTTP 200 https://www.amazon.com/Cancelling-Bluetooth-Headphones-Earphones-Waterproof/dp/B0H6VZSB53/ref=sr_1_16?dib=eyJ2IjoiMSJ9.cHcgliAzcUuJZVVrUBrTMStX2abZeLX8EZ0edgi2DEZbMYT4ZwUqHKs4TB2l6K5y9zzqkRxomM4dC8rAd4yqe_7Dxy0Jl-PxpYqEGj_R3ykaRgjwOq64r_9Ju4V62q15d9hGomNSL4lAF6zArlxks_42uedPs1PAc123J7M2Xsk7-GOzNYyGlolw6HF0-0XzR15fgXZDFNYLd8D_lhapHWLCcGsSSi7vWbXoMvNjnqI.MDQvF_2dtwi838VSt6gBulSTDWhCZJxnBLUbajbFVcs&dib_tag=se&keywords=wireless+earbuds&qid=1787915985&sr=8-16
